Team, Key, Cycle Time, Started, Resolved, Points, NSUL, NSUW, Average Pts, NSLW, NSLL
Team 1, fS-1, 8, 01/02/15, 01/14/15, 21.00, 32.21, 24.69, 9.63, -5.42, -12.95
Team 1, fS-10, 0, 01/04/15, 01/04/15, 13.00, 32.21, 24.69, 9.63, -5.42, -12.95
Team 1, fS-12, 4, 01/04/15, 01/09/15, 3.00, 32.21, 24.69, 9.63, -5.42, -12.95
Team 1, fS-14, 0, 01/14/15, 01/14/15, 1.00, 32.21, 24.69, 9.63, -5.42, -12.95
Team 1, fS-15, 1, 01/15/15, 01/17/15, 2.00, 32.21, 24.69, 9.63, -5.42, -12.95
Team 1, fS-17, 3, 01/06/15, 01/09/15, 13.00, 32.21, 24.69, 9.63, -5.42, -12.95
Team 1, fS-18, 0, 01/12/15, 01/12/15, 2.00, 32.21, 24.69, 9.63, -5.42, -12.95
Team 1, fS-19, 0, 01/15/15, 01/15/15, 2.00, 32.21, 24.69, 9.63, -5.42, -12.95
Team 1, fS-2, 0, 01/10/15, 01/11/15, 13.00, 32.21, 24.69, 9.63, -5.42, -12.95
Team 1, fS-3, 28, 01/08/15, 02/17/15, 21.00, 32.21, 24.69, 9.63, -5.42, -12.95
Team 1, fS-4, 12, 01/02/15, 01/20/15, 13.00, 32.21, 24.69, 9.63, -5.42, -12.95
Team 1, fS-9, 0, 01/11/15, 01/12/15, 2.00, 32.21, 24.69, 9.63, -5.42, -12.95
